품명,한글명,포장단위(규격), 금액(US$),제조국,전문/일반
GALLIUM CHLORIDE(67GA) INJ SOLUTION,다이이치구연산갈륨(67Ga)주사액,5ML(370MBQ=10MCI)/VIAL,"  3,231 ",JAPAN,전문
GALVUS TAB 50MG,가브스정50밀리그램,14TAB/2PTP/PACK,"  3,741,431 ",U.K,전문
GALVUSMET TAB 50/1000MG,가브스메트정50/1000밀리그램,10TAB/6PTP/PACK,"  5,264,536 ",U.K,전문
GALVUSMET TAB 50/500MG,가브스메트정50/500밀리그램,10TAB/6PTP/PACK,"  5,066,142 ",SWITZERLAND,전문
GALVUSMET TAB 50/850MG,가브스메트정50/850밀리그램,10TAB/6PTP/PACK,"  5,310,475 ",U.K,전문
GANFORT OPHTHALMIC SOLUTION,간포트점안액,3ML/BOTTLE,"  39,239 ",IRELAND,전문
GARDASIL 9 PREFILLED SYRINGE,가다실9프리필드시린지,0.5ML/10PFS/PACK,"  10,804,108 ",USA,전문
GARDASIL 9 PREFILLED SYRINGE,가다실9프리필드시린지,0.5ML/1PFS/PACK,"  1,608,155 ",USA,전문
GARDASIL PREFILLED SYRINGE,가다실프리필드시린지,0.5ML/10PFS/PACK,"  13,908,389 ",USA,전문
GARDASIL PREFILLED SYRINGE,가다실프리필드시린지,0.5ML/1PFS/PACK,"  2,239,469 ",USA,전문
GASTER D TAB 20MG,가스터디정20㎎,10TAB/10PTP/BOX,"  1,398,161 ",JAPAN,전문
GASTROGRAFIN,가스트로그라핀,100ML/1VIAL/PACK,"  154,445 ",SPAIN,전문
GAVIR INJ 500MG,가비르정주500밀리그램,1VIAL+1AMP(10ML)(용제)/BOX,"  1,948 ",INDIA,전문
GAZYVA INJ,가싸이바주,40ML/1VIAL/PACK,"  960,927 ",SWITZERLAND,전문
GAZYVA INJ,가싸이바주,40ML/1VIAL/PACK,"  417,546 ",USA,전문
GEMCITABINE INJ,화이자젬시타빈액상주,26.3ML/VIAL,"  20,037 ",AUSTRALIA,전문
GEMCITABINE INJ,화이자젬시타빈액상주,5.3ML/VIAL,"  6,154 ",AUSTRALIA,전문
GEMCITABINE INJ,화이자젬시타빈액상주,52.6ML/VIAL,"  97,396 ",AUSTRALIA,전문
GEMZAR INJ 1G,젬자주1그램,1G/1VIAL/PACK,"  990,173 ",FRANCE,전문
GEMZAR INJ 1G,젬자주1그램,1G/1VIAL/PACK,"  3,028,679 ",USA,전문
GEMZAR INJ 200MG,젬자주200밀리그램,200MG/1VIAL/PACK,"  460,485 ",FRANCE,전문
GEMZAR INJ 200MG,젬자주200밀리그램,200MG/1VIAL/PACK,"  997,395 ",USA,전문
GENEFER PROGESTERONE INJECTION,제니퍼프로게스테론주사액,10ML/1VIAL/BOX,"  275,220 ",USA,전문
GENOTROPIN GQ 12MG,지노트로핀고퀵펜주36아이유,36IU/5PFP/BOX,"  1,048,946 ",BELGIUM,전문
GENOTROPIN INJ 12MG,지노트로핀주12mg,5CARTRIDGE/PACK,"  980,004 ",SWEDEN,전문
GENOTROPIN INJ. 16IU,지노트로핀주16아이유,5CARTRIDGE/BOX,"  3,384,813 ",SWEDEN,전문
GENVOYA TAB,젠보야정,30TAB/BOTTLE,"  20,811,351 ",U.K,전문
GENZYME ELAPRASE INJ,젠자임엘라프라제주,3ML/VIAL,"  7,529,954 ",USA,전문
GENZYME FABRAZYME INJ,젠자임파브라자임주,7ML/VIAL,"  6,928,779 ",USA,전문
GIOTRIF TAB 20MG,지오트립정20밀리그램,7TAB/4PTP/PACK,"  1,696,554 ",USA,전문
GIOTRIF TAB 30MG,지오트립정30밀리그램,7TAB/4PTP/PACK,"  3,682,775 ",USA,전문
GIOTRIF TAB 40MG,지오트립정40밀리그램,7TAB/4PTP/PACK,"  3,037,544 ",USA,전문
GLAMIN INJ,글라민주,250ML/BOTTLE,"  56,531 ",AUSTRIA,전문
GLAMIN INJ,글라민주,500ML/BOTTLE,"  908,657 ",AUSTRIA,전문
GLIOLAN,글리올란,1.5G/1VIAL/PACK,"  425,795 ",GERMANY,전문
GLIVEC FCT 100MG,글리벡필름코팅정100밀리그램,10TAB/6PTP/PACK,"  20,772,761 ",SWITZERLAND,전문
GLUCOPHAGE TAB 1000MG,글루코파지정1000밀리그램,15TAB/4PTP/BOX,"  286,732 ",FRANCE,전문
GLUCOPHAGE XR 1000MG SR TAB,글루코파지엑스알1000밀리그램서방정,10TAB/6PTP/PACK,"  1,334,262 ",U.K,전문
GLUCOPHAGE XR EXTENDED RELEASE TABLET,글루코파지엑스알서방정,15TAB/4PTP/PACK,"  619,117 ",U.K,전문
GLUCOVANCE 500MG/2.5MG TAB.,글루코반스정500/2.5밀리그램,10TAB/6PTP/BOX,"  31,415 ",FRANCE,전문
GLUCOVANCE 500MG/5MG TAB.,글루코반스정500/5밀리그램,10TAB/6PTP/BOX,"  107,904 ",FRANCE,전문
GLURIAD TAB 500/2.5MG,글루리아드정500/2.5밀리그램,10TAB/12PTP/BOX,"  35,157 ",FRANCE,전문
GLURIAD TAB 500/2.5MG,글루리아드정500/2.5밀리그램,10TAB/6PTP/BOX,"  36,799 ",FRANCE,전문
GLURIAD TAB 500/5MG,글루리아드정500/5밀리그램,10TAB/12PTP/BOX,"  169,637 ",FRANCE,전문
GLURIAD TAB 500/5MG,글루리아드정500/5밀리그램,10TAB/6PTP/BOX,"  44,363 ",FRANCE,전문
GLYPRESSIN 1MG,글라이프레신1밀리그램,1MG/1VIAL/BOX,"  489,770 ",SWITZERLAND,전문
GLYPRESSIN 1MG,글라이프레신1밀리그램,1MG/5VIAL/BOX,"  153,236 ",SWITZERLAND,전문
GONAL F FOR INJECTION 75IU (FOLLITROPHIN ALPHA),고날에프주75IU(5.5ug),1AMP/BOX,"  50,572 ",SWITZERLAND,전문
GONAL-F PEN 300IU INJECTION(FOLLITROPIN ALFA),고날-에프펜300IU주,0.5ML/1PFS/BOX,"  1,004,345 ",U.K,전문
GONAL-F PEN 450IU INJECTION(FOLLITROPIN ALFA),고날-에프펜450IU주,0.75ML/1PFS/BOX,"  876,983 ",U.K,전문
GONAL-F PEN 900IU INJECTION(FOLLITROPIN ALFA),고날-에프펜900IU주,1.5ML/1VIAL/BOX,"  5,149,636 ",U.K,전문
GRASIN 300 PRE-FILLED SYRINGE INJECTION (FILGRASTIM),그라신300프리필드시린지주,0.7ML/10SYRINGE/BOX,"  6,214,539 ",JAPAN,전문
GRASIN PRE-FILLED SYRINGE INJECTION (FILGRASTIM),그라신프리필드시린지주,0.3ML/10SYRINGE/BOX,"  336,360 ",JAPAN,전문
GRASIN PRE-FILLED SYRINGE INJECTION (FILGRASTIM),그라신프리필드시린지주,0.6ML/10SYRINGE/BOX,"  984,034 ",JAPAN,전문
GULUCOLIN-S INJ,글루콜린에스주사액,20ML/50AMP/BOX,"  106,800 ",JAPAN,전문
GYNOFLOR VAGINAL TABLETS,지노프로질정,6TAB/PTP/PACK,"  1,175,131 ",GERMANY,전문
HALAVEN INJ.,할라벤주,2ML/1VIAL/PACK,"  1,600,000 ",U.K,전문
HALDOL DECANOAS INJ,할돌데카노아스주사,1ML/AMP/PACK,"  33,195 ",BELGIUM,전문
HAMONILAN SOLUTION,하모닐란액,200ML/PACK,"  2,386,690 ",GERMANY,전문
HAMONILAN SOLUTION,하모닐란액,500ML/PACK,"  3,207,676 ",GERMANY,전문
HARNAL-D TAB 0.2MG,하루날디정0.2밀리그램,14TAB/10PTP/BOX,"  23,580,327 ",JAPAN,전문
HARNAL-D TAB 0.2MG,하루날디정0.2밀리그램,14TAB/1PTP/BOX,"  1,514 ",JAPAN,전문
HARVONI TAB,하보니정,28TAB/BOTTLE,"  2,627,896 ",U.K,전문
HAVRIX INJ.,하브릭스주,0.5ML/10PFS/PACK,"  44,653 ",BELGIUM,전문
HAVRIX INJ.,하브릭스주,1ML/1PFS/PACK,"  5,278,840 ",BELGIUM,전문
HEALON 5 INJ,힐론5주,0.6ML/1PFS/BOX,"  39,032 ",SWEDEN,전문
HEALON GV INJ 14.0MG,힐론지브이주14.0밀리그램,0.85ML/1PFS/BOX,"  387,853 ",SWEDEN,전문
HEALON INJ,힐론주,0.85ML/1PFS/BOX,"  354,654 ",SWEDEN,전문
HELICAP CAPSULE(UREA C14),헬리캡캡슐,10CAP/BOTTLE,"  166,250 ",SWEDEN,전문
HELIXOR A 100MG INJECTION,헬릭소에이100밀리그램주,2.5ML/3AMP/PACK,"  378,791 ",GERMANY,전문
HELIXOR A 10MG INJECTION,헬릭소에이10밀리그램주,1.5ML/3AMP/PACK,"  40,355 ",GERMANY,전문
HELIXOR A 1MG INJECTION,헬릭소에이1밀리그램주,1.5ML/3AMP/PACK,"  36,807 ",GERMANY,전문
HELIXOR A 20MG INJECTION,헬릭소에이20밀리그램주,1.5ML/3AMP/PACK,"  31,350 ",GERMANY,전문
HELIXOR A 30MG INJECTION,헬릭소에이30밀리그램주,1.5ML/3AMP/PACK,"  19,304 ",GERMANY,전문
HELIXOR A 50MG INJECTION,헬릭소에이50밀리그램주,1.5ML/3AMP/PACK,"  53,125 ",GERMANY,전문
HELIXOR A 5MG INJECTION,헬릭소에이5밀리그램주,1.5ML/3AMP/PACK,"  48,565 ",GERMANY,전문
HELIXOR M 100MG INJECTION,헬릭소엠100밀리그램주,2.5ML/3AMP/PACK,"  231,511 ",GERMANY,전문
HELIXOR M 10MG INJECTION,헬릭소엠10밀리그램주,1.5ML/3AMP/PACK,"  19,281 ",GERMANY,전문
HELIXOR M 1MG INJECTION,헬릭소엠1밀리그램주,1.5ML/3AMP/PACK,"  18,276 ",GERMANY,전문
HELIXOR M 20MG INJECTION,헬릭소엠20밀리그램주,1.5ML/3AMP/PACK,"  16,479 ",GERMANY,전문
HELIXOR M 30MG INJECTION,헬릭소엠30밀리그램주,1.5ML/3AMP/PACK,"  11,513 ",GERMANY,전문
HELIXOR M 50MG INJECTION,헬릭소엠50밀리그램주,1.5ML/3AMP/PACK,"  53,011 ",GERMANY,전문
HELIXOR M 5MG INJECTION,헬릭소엠5밀리그램주,1.5ML/3AMP/PACK,"  21,067 ",GERMANY,전문
HEMANGIOL(PROPRANOLOL HCL),헤만지올액,120ML/1BOTTLE/BOX,"  286,700 ",FRANCE,전문
HEMOSOL B0 SOLUTION,헤모졸비제로액,5L/2BAG/BOX,"  3,093,422 ",SWEDEN,전문
HEMOSPON(GELATIN),헤모스폰,30UNIT/BOX,"  35,843 ",BRAZIL,전문
HEPSERA TAB 10MG (ADEFOVIR DIPIVOXIL),헵세라정10밀리그램,30TAB/1BOTTLE/PACK,"  1,601,928 ",CHINA,전문
HERCEPTIN INJ. 150MG,허셉틴주150밀리그램,1VIAL/PACK,"  28,984,612 ",SWITZERLAND,전문
HERCEPTIN SC INJ 600MG,허셉틴피하주사600밀리그램,5ML/1VIAL/PACK,"  46,532,831 ",U.K,전문
HERI INJ,헤리주사,1.6MG/2VIAL/BOX,"  2,632,020 ",CHINA,전문
HIDRASEC POWDER 10MG,하이드라섹산10mg,16SACHET/BOX,"  107,142 ",FRANCE,전문
HIDRASEC POWDER 30MG,하이드라섹산30mg,16SACHET/BOX,"  131,719 ",FRANCE,전문
HISHIPHAGEN-C INJECTION 20ML,히시파겐씨주20밀리리터,20ML/50AMP/BOX,"  258,505 ",JAPAN,전문
HMED FURSULTIAMINE INJ.50MG(FURSULTIAMINE HYDROCHLORIDE),에이치메드푸르설티아민주50밀리그램,20ML/AMP,"  125,021 ",JAPAN,전문
HMED THIOCTIC ACID INJ. 25MG,에이치메드티옥트산주25밀리그램,5ML/AMP,"  112,980 ",JAPAN,전문
HOKUNALIN PATCH 0.5MG,호쿠날린패취0.5밀리그램,70SHEET/BOX,"  551,077 ",JAPAN,전문
HOKUNALIN PATCH 1 MG,호쿠날린패취1밀리그램,70SHEET/BOX,"  678,477 ",JAPAN,전문
HOKUNALIN PATCH 2 MG,호쿠날린패취2밀리그램,70SHEET/BOX,"  186,091 ",JAPAN,전문
HOLOXAN INJ 1000MG,홀록산주1000밀리그램,1000MG/1VIAL/PACK,"  613,664 ",GERMANY,전문
HUH COLISTIMETHATE INJECTION,후콜리스티메테이트주,150MG/VIAL,"  1,845,323 ",CANADA,전문
HUMALOG CARTRIDGE INJ 100U/ML,휴마로그카트리지주100단위/mL,3ML/5CARTRIDGE/PACK,"  25,319 ",NETHERLANDS,전문
HUMALOG INJ 100U/ML,휴마로그주100단위/밀리리터,10ML/VIAL,"  1,474,581 ",NETHERLANDS,전문
HUMALOG KWIKPEN INJ 100U/ML,휴마로그퀵펜주100단위/밀리리터,5PEN/PACK,"  2,192,072 ",NETHERLANDS,전문
HUMALOG MIX25 KWIKPEN INJ 100U/ML,휴마로그믹스25퀵펜주100단위/밀리리터,5PEN/PACK,"  2,273,373 ",NETHERLANDS,전문
HUMALOG MIX50 KWIKPEN INJ 100U/ML,휴마로그믹스50퀵펜주100단위/밀리리터,3ML/5PEN/PACK,"  1,072,276 ",NETHERLANDS,전문
HUMIRA INJ 40MG VIAL,휴미라주40밀리그램바이알,0.8ML/2VIAL/PACK,"  33,661 ",U.K,전문
HUMIRA INJ 40MG/0.4ML,휴미라펜주40mg/0.4mL,0.4ML/1PEN/PACK,"  5,315,641 ",U.K,전문
HUMIRA INJ 40MG/0.4ML,휴미라프리필드시린지주40mg/0.4mL,0.4ML/1PFS/PACK,"  4,432,422 ",U.K,전문
HUMIRA INJ 40MG,휴미라주40밀리그램,0.8ML/1PFS/PACK,"  18,248,644 ",U.K,전문
HUMULIN 70/30 KWIKPEN INJ 100U/ML,휴물린70/30퀵펜주100단위/밀리리터,3ML/5PEN/PACK,"  519,896 ",FRANCE,전문
HUMULIN 70/30,휴물린70/30,10ML/VIAL,"  57,553 ",GERMANY,전문
HUMULIN N INJ. 100IU,휴물린엔주100단위,10ML/VIAL,"  690,277 ",USA,전문
HUMULIN N KWIKPEN INJ 100U/ML,휴물린엔퀵펜주100단위/밀리리터,3ML/5PEN/PACK,"  1,188,106 ",FRANCE,전문
HUMULIN R INJ. 100IU,휴물린알주100단위,10ML/VIAL,"  414,552 ",USA,전문
HURRICAINE GEL(WILD CHERRY),일청허리케인겔,29.6G/BOTTLE,"  97,686 ",USA,전문
HURRICAINE SPRAY,일청허리케인스프레이,2OZ/CAN,"  24,088 ",USA,전문
HYABAK EYE SOLUTION,히아박점안액,10ML/10BOTTLE/PACK,"  1,525,902 ",FRANCE,전문
HYALEIN 0.1 OPHTHALMIC SOLUTION,히아레인0.1점안액,5ML/10BOTTLE/BOX,"  2,313,770 ",JAPAN,전문
HYALEIN 0.3 OPHTHALMIC SOLUTION,히아레인0.3점안액,5ML/BOTTLE,"  104,046 ",JAPAN,전문
HYALEIN MINI OPHTHALMIC SOLUTION 0.1%,히아레인미니점안액0.1%,0.4ML/100EA/BOX,"  1,029,461 ",JAPAN,전문
HYALEIN MINI OPHTHALMIC SOLUTION 0.3%,히아레인미니점안액0.3%,0.4ML/100EA/BOX,"  337,409 ",JAPAN,전문
HYCAMTIN INJECTION 4MG,하이캄틴주4밀리그램,1ML/5VIAL/PACK,"  1,054,919 ",U.K,전문
"HYLASE DESSAU INJ 1,500 I.U (HYALURONIDASE)",하이라제데사우주1500I.U,10ML/10VIAL/BOX,"  225,279 ",GERMANY,전문
HYLASE DESSAU INJ 150 I.U(HYALURONIDASE),하이라제데사우주150I.U,10VIAL/BOX,"  237,349 ",GERMANY,전문
HYPADIL OPHTHALMIC SOLUTION,현대하이파딜점안액,5ML/BOTTLE,"  63,360 ",JAPAN,전문
I.N.O MAX GAS FOR INHALATION 800PPM,아이엔오맥스흡입용가스800ppm,1963L/1CYLINDER/BOX,"  2,805,000 ",USA,전문
I-131 THERAPHY CAPSULE,테라캡131캅셀,1캅셀(100MCI),"  202,926 ",U.K,전문
I-131 THERAPHY CAPSULE,테라캡131캅셀,1캅셀(150MCI),"  192,127 ",U.K,전문
I-131 THERAPHY CAPSULE,테라캡131캅셀,1캅셀(30MCI),"  42,022 ",U.K,전문
I-131 THERAPHY CAPSULE,테라캡131캅셀,1캅셀(50MCI),"  8,095 ",U.K,전문
I-131 THERAPHY CAPSULE,테라캡131캅셀,1캅셀(60MCI),  108 ,U.K,전문
I-131 THERAPHY CAPSULE,테라캡131캅셀,1캅셀(80MCI),"  24,906 ",U.K,전문
IBANDQUAL TABLET 150MG,이반드퀄정150밀리그램,1TAB/1PTP/PACK,"  12,251 ",NETHERLANDS,전문
IBRANCE CAPSULE 100MG(PALBOCICLIB),입랜스캡슐100mg,3CAP/7PTP/CARTON,"  3,265,035 ",USA,전문
IBRANCE CAPSULE 125MG(PALBOCICLIB),입랜스캡슐125mg,3CAP/7PTP/CARTON,"  7,359,290 ",USA,전문
IBRANCE CAPSULE 75MG(PALBOCICLIB),입랜스캡슐75mg,3CAP/7PTP/CARTON,"  767,660 ",USA,전문
"IKERVIS 1MG/ML EYE DROPS, EMULSION",아이커비스점안액0.1%,0.3ML/30TUBE/BOX,  35 ,FINLAND,전문
IMAX IOHEXOL 300 INJ.,아이맥스이오헥솔300주,125ML/VIAL,"  42,000 ",IRELAND,전문
IMAX IOHEXOL 300 INJ.,아이맥스이오헥솔300주,150ML/VIAL,"  46,350 ",IRELAND,전문
IMAX IOHEXOL 300 INJ.,아이맥스이오헥솔300주,200ML/VIAL,"  26,400 ",IRELAND,전문
IMAX IOHEXOL 300 INJ.,아이맥스이오헥솔300주,500ML/VIAL,"  214,420 ",IRELAND,전문
IMAX IOHEXOL 300 INJ.,아이맥스이오헥솔300주,50ML/VIAL,"  9,360 ",IRELAND,전문
IMAX IOHEXOL 350 INJ.,아이맥스이오헥솔350주,100ML/VIAL,"  153,614 ",IRELAND,전문
IMAX IOHEXOL 350 INJ.,아이맥스이오헥솔350주,125ML/VIAL,"  90,090 ",IRELAND,전문
IMAX IOHEXOL 350 INJ.,아이맥스이오헥솔350주,150ML/VIAL,"  50,750 ",IRELAND,전문
IMAX IOHEXOL 350 INJ.,아이맥스이오헥솔350주,200ML/VIAL,"  69,360 ",IRELAND,전문
IMAX IOHEXOL 350 INJ.,아이맥스이오헥솔350주,500ML/VIAL,"  151,470 ",IRELAND,전문
IMAX IOHEXOL 350 INJ.,아이맥스이오헥솔350주,50ML/VIAL,"  148,020 ",IRELAND,전문
IMBRUVICA CAP 140MG,임브루비카캡슐140밀리그램,120CAP/1BOTTLE/PACK,"  2,840,003 ",USA,전문
IMBRUVICA CAP 140MG,임브루비카캡슐140밀리그램,90CAP/BOTTLE/PACK,"  207,084 ",USA,전문
IMEZID MR TAB. 35MG,이메지드엠알서방정35밀리그램,10TAB/10PTP/PACK,"  23,322 ",INDIA,전문
IMIGRAN TABLETS 50MG,이미그란정50밀리그램,6TAB/PTP/PACK,"  938,005 ",AUSTRALIA,전문
IMMUNATE INJ 500,이뮤네이트주500,500IU/VIAL,"  2,947,311 ",AUSTRIA,전문
IMOVAX POLIO INJ,이모박스폴리오주,0.5ML/1PFS/BOX,"  55,023 ",FRANCE,전문
IMPLANON NXT IMPLANTS,임플라논엔엑스티이식제,68MG/1임플란트/BOX,"  1,231,810 ",NETHERLANDS,전문
IMPRIDA TAB 10/160MG,임프리다정10/160밀리그램,14TAB/2PTP/PACK,"  146,632 ",SWITZERLAND,전문
IMPRIDA TAB 5/160MG,임프리다정5/160밀리그램,14TAB/2PTP/PACK,"  323,895 ",SWITZERLAND,전문
IMPRIDA TAB 5/80MG,임프리다정5/80밀리그램,14TAB/2PTP/PACK,"  280,153 ",SWITZERLAND,전문
IMURAN TAB.,이뮤란정,25TAB/4PTP/PACK,"  1,029,953 ",AUSTRALIA,전문
INCRUSE ELLIPTA,인크루즈엘립타,375MG/PACK(30DOSE),"  473,928 ",U.K,전문
INDIVANA 1/2.5MG TABLETS,인디비나정1밀리그램/2.5밀리그램,28TAB/1PTP/PACK,"  51,441 ",FINLAND,전문
INDIVANA 1/5MG TABLETS,인디비나정1밀리그램/5밀리그램,28TAB/1PTP/PACK,"  9,435 ",FINLAND,전문
INDIVINA 2/5MG TABLETS,인디비나정2밀리그램/5밀리그램,28TAB/1PTP/PACK,"  19,830 ",FINLAND,전문
INFASURF INJ.,인파서프주,3ML/VIAL/BOX,"  50,000 ",USA,전문
INFASURF INJ.,인파서프주,6ML/VIAL/BOX,"  76,000 ",USA,전문
INISIA TAB,이니시아정,14TAB/2PTP/BOX,"  458,360 ",HUNGARY,전문
INLYTA TAB 1MG,인라이타정1밀리그램,14TAB/4PTP/PACK,"  532,439 ",USA,전문
INLYTA TAB 5MG,인라이타정5밀리그램,14TAB/2PTP/PACK,"  1,670,794 ",USA,전문
INNOTRONIC TESTOSTERONE ENANTHATE INJ. 250MG/ML,이노트로닉테스토스테론에난테이트주250mg/mL,1ML/10AMP/BOX,"  140,680 ",GERMANY,전문
INSTILLAGEL,인스틸라젤겔,11ML/10EA/PACK,"  494,316 ",GERMANY,전문
INSTILLAGEL,인스틸라젤겔,6ML/10EA/PACK,"  52,563 ",GERMANY,전문
INSULATARD HM INJ 100IU/ML,인슈라타드HM주100단위/밀리리터,10ML/1VIAL/PACK,"  177,402 ",DENMARK,전문
INTELENCE TAB 100MG,인텔렌스정,120TAB/BOTTLE,"  225,239 ",ITALY,전문
INTRALIPID 10% INJ,인트라리피드10%주,500ML/BAG,"  115,649 ",SWEDEN,전문
INTRALIPID 20% INJ,인트라리피드20%주,250ML/BAG,"  189,538 ",SWEDEN,전문
INTRON-A MUTIDOSE PEN 18MIU,인트론에이멀티도스펜1천8백만단위,1.2ML/1PEN/PACK,"  549,251 ",IRELAND,전문
INTRON-A MUTIDOSE PEN 30MIU,인트론에이멀티도스펜3천만단위,1.2ML/1PEN/PACK,"  330,447 ",BELGIUM,전문
INVANZ INJ 1G,인반즈주1그램,1G/1VIAL/PACK,"  4,934,419 ",AUSTRALIA,전문
INVEGA SUSTENNA 117MG INJ.,인베가서스티나주사117mg,0.75ML/1VIAL/PACK,"  608,842 ",USA,전문
INVEGA SUSTENNA 156MG INJ.,인베가서스티나주사156mg,1ML/1VIAL/PACK,"  1,210,877 ",USA,전문
INVEGA SUSTENNA 234MG INJ.,인베가서스티나주사234mg,1.5ML/1VIAL/PACK,"  2,742,635 ",USA,전문
INVEGA SUSTENNA 39MG INJ.,인베가서스티나주사39mg,0.25ML/1VIAL/PACK,"  92,977 ",BELGIUM,전문
INVEGA SUSTENNA 78MG INJ.,인베가서스티나주사78mg,0.5ML/1VIAL/PACK,"  214,186 ",USA,전문
INVEGA TRINZA INJ.,인베가트린자주사,273MG/1PFS/PACK,"  281,655 ",BELGIUM,전문
INVEGA TRINZA INJ.,인베가트린자주사,410MG/1PFS/PACK,"  391,312 ",BELGIUM,전문
INVEGA TRINZA INJ.,인베가트린자주사,546MG/1PFS/PACK,"  506,743 ",BELGIUM,전문
INVEGA TRINZA INJ.,인베가트린자주사,819MG/1PFS/PACK,"  368,720 ",BELGIUM,전문
IOMERON 300 INJ,이오메론300주사액,100ML/1BOTTLE/PACK,"  140,084 ",ITALY,전문
IOMERON 300 INJ,이오메론300주사액,150ML/1BOTTLE/PACK,"  260,485 ",ITALY,전문
IOMERON 300 INJ,이오메론300주사액,500ML/1BOTTLE/PACK,"  1,450,280 ",ITALY,전문
IOMERON 300 INJ,이오메론300주사액,50ML/1BOTTLE/PACK,"  98,240 ",ITALY,전문
IOMERON 350 INJ,이오메론350주사액,100ML/1BOTTLE/PACK,"  1,204,980 ",ITALY,전문
IOMERON 350 INJ,이오메론350주사액,150ML/1BOTTLE/PACK,"  2,527,857 ",ITALY,전문
IOMERON 350 INJ,이오메론350주사액,500ML/1BOTTLE/PACK,"  2,010,205 ",ITALY,전문
IOMERON 350 INJ,이오메론350주사액,50ML/1BOTTLE/PACK,"  50,403 ",ITALY,전문
IOMERON 400 INJ,이오메론400주사액,100ML/1BOTTLE/PACK,"  2,439,202 ",ITALY,전문
IOMERON 400 INJ,이오메론400주사액,500ML/1BOTTLE/PACK,"  230,787 ",ITALY,전문
IOMERON 400 INJ,이오메론400주사액,50ML/1BOTTLE/PACK,"  25,738 ",ITALY,전문
IOPAMIGITA 300 INJECTION,이오파미지타300주사액,100ML/BOTTLE,"  63,973 ",GERMANY,전문
IOPAMIGITA 300 INJECTION,이오파미지타300주사액,150ML/BOTTLE,"  327,629 ",GERMANY,전문
IOPAMIGITA 370 INJECTION,이오파미지타370주사액,100ML/BOTTLE,"  76,489 ",GERMANY,전문
IOPAMIGITA 370 INJECTION,이오파미지타370주사액,150ML/BOTTLE,"  859,679 ",GERMANY,전문
IOPAMIGITA 370 INJECTION,이오파미지타370주사액,500ML/BOTTLE,"  149,799 ",GERMANY,전문
IOPAMIRO 300 INJ 10ML,이오파미로300주사액10밀리리터,10ML/5AMP/PACK,"  110,138 ",ITALY,전문
IOPAMIRO 300 INJ,이오파미로300주사액,100ML/1BOTTLE/PACK,"  75,202 ",ITALY,전문
IOPAMIRO 300 INJ,이오파미로300주사액,150ML/1BOTTLE/PACK,"  975,581 ",ITALY,전문
IOPAMIRO 300 INJ,이오파미로300주사액,500ML/1BOTTLE/PACK,"  179,098 ",ITALY,전문
IOPAMIRO 370 INJ,이오파미로370주사액,100ML/1BOTTLE/PACK,"  1,311,717 ",ITALY,전문
IOPAMIRO 370 INJ,이오파미로370주사액,150ML/1BOTTLE/PACK,"  1,065,725 ",ITALY,전문
IOPAMIRO 370 INJ,이오파미로370주사액,500ML/1BOTTLE/PACK,"  531,696 ",ITALY,전문
IOPAMIRO 370 INJ,이오파미로370주사액,50ML/1BOTTLE/PACK,"  25,953 ",ITALY,전문
IOPIDINE 0.5% STERILE OPHTHALMIC SOLUTION,아이오피딘0.5%점안액,5ML/1BOTTLE/PACK,"  76,387 ",BELGIUM,전문
IRESSA TABLETS,이레사정,10TAB/3PTP/PACK,"  13,778,653 ",JAPAN,전문
IRINOTEL INJ,이리노텔주,2ML/VIAL,"  6,323 ",INDIA,전문
IRINOTEL INJ,이리노텔주,5ML/VIAL,"  18,959 ",INDIA,전문
IRRIBOW TAB 2.5MCG,이리보정2.5마이크로그램,10TAB/10PTP/BOX,"  67,309 ",JAPAN,전문
IRRIBOW TAB 2.5MCG,이리보정2.5마이크로그램,10TAB/PTP/BOX,"  27,600 ",JAPAN,전문
IRRIBOW TAB 5MCG,이리보정5마이크로그램,10TAB/10PTP/BOX,"  204,190 ",JAPAN,전문
ISCADOR M 0.01MG INJ,이스카도엠0.01밀리그램주사액,1ML/7AMP/BOX,"  63,351 ",SWITZERLAND,전문
ISCADOR M 0.1MG INJ,이스카도엠0.1밀리그램주사액,1ML/7AMP/BOX,"  46,652 ",SWITZERLAND,전문
ISCADOR M 10MG INJ,이스카도엠10밀리그램주사액,1ML/7AMP/BOX,"  28,404 ",SWITZERLAND,전문
ISCADOR M 1MG INJ,이스카도엠1밀리그램주사액,1ML/7AMP/BOX,"  32,659 ",SWITZERLAND,전문
ISCADOR M 20MG INJ,이스카도엠20밀리그램주사액,1ML/7AMP/BOX,"  23,793 ",SWITZERLAND,전문
ISCADOR QU 0.01MG INJ,이스카도큐0.01밀리그램주사액,1ML/7AMP/BOX,"  58,793 ",SWITZERLAND,전문
ISCADOR QU 0.1MG INJ,이스카도큐0.1밀리그램주사액,1ML/7AMP/BOX,"  47,424 ",SWITZERLAND,전문
ISCADOR QU 10MG INJ,이스카도큐10밀리그램주사액,1ML/7AMP/BOX,"  25,179 ",SWITZERLAND,전문
ISCADOR QU 1MG INJ,이스카도큐1밀리그램주사액,1ML/7AMP/BOX,"  36,283 ",SWITZERLAND,전문
ISCADOR QU 20MG INJ,이스카도큐20밀리그램주사액,1ML/7AMP/BOX,"  22,020 ",SWITZERLAND,전문
ISENTRESS TAB,이센트레스정,60TAB/1BOTTLE/PACK,"  3,801,393 ",SINGAPORE,전문
